SMILES,PCE
CC1=CC2=C(C(OCC(CC)CCCC)=C(C=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=C(C6=NC(SC(C7=CC=C(N(C8=CC=C(C)C=C8)C9=CC=CC=C9)C=C7)=N%10)=C%10S6)C=C5)C=C3)S%11)C%11=C2OCC(CCCC)CC)S1,0.61
CC1=CC2=C(C(SC(C3=CC=C(C)C4=NSN=C34)=C5)=C5C6=C2C=C(OCC(CCCC)CC)C(OCC(CCCC)CC)=C6)S1,0.62
CC1=CC([Ge](CC(CCCCCCCCCC)CCCCCCCC)(CC(CCCCCCCC)CCCCCCCCCC)C2=C3SC(C4=CC=C(C5=C(C#N)C(C#N)=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3S1,0.63
CC1=C2C(C(N(CC(CCCCCC)CCCC)C2=O)=O)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=CC(OCCCCCCCCCCCC)=C(C)S4)S3)S1,0.64
CC1=CC(C2=C3SC(CCCCCCCCCCCCCCCC)=C2)=C(S1)C4=C3C=C(C5=CC=C(C6=C7C(N=C(C8=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C9)=N7)=C(C%10=CC=C(C)S%10)C%11=NSN=C6%11)S5)S4,0.65
CC1=CC2=C(C=C(C=C(C3=CC=C(/C(C(N4CC(CCCCCCCC)CCCCCCCCCC)=O)=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=C\5C=CC(C)=C6)=O)C4=C3)O7)C7=C2)O1,0.65
CC(S1)=CC=C1C(C2=NC(C)(C)N=C23)=CC=C3C(S4)=CC=C4C5=CC6=C(C(C(C7(CC(CC)CCCC)CC(CC)CCCC)=CC(C)=C8)=C8C=C6)C7=C5,0.67
CC1=C(F)C(F)=C(C2=CC3=C(C4=CC(N(CC(CCCCCCCCCC)CCCCCCCC)C5=C6SC(C)=C5)=C6C=C4N3CC(CCCCCCCCCC)CCCCCCCC)S2)C7=NSN=C71,0.7
CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1,0.7
CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C(CCCCCCCC)C=C(C4=C5C(C(N(CCCCCCCCCCCC)C5=O)=O)=C(C6=CC(CCCCCCCC)=C(C)S6)S4)S3)S7)C7=C2OCC(CCCC)CC,0.7
CC1=C2C(N=C(CCCCCCCC)S2)=C(C3=CC=C(C4=CC=C(C)C=C4N5C(CCCCCC)CCCCCC)C5=C3)S1,0.71
